"ano","nasc","obtos","pb.sobrev"
"2000",94746,290,0.9969
"2001",92979,320,0.9966
"2002",93897,337,0.9964
"2003",92081,307,0.9967
"2004",91231,309,0.9966
"2005",91556,267,0.9971
"2006",87483,270,0.9969
"2007",85159,271,0.9968
"2008",87462,225,0.9974
"2009",87485,228,0.9974
"2010",87476,254,0.9971
"2011",89742,214,0.9976
"2012",93274,207,0.9978
"2013",94822,225,0.9976
"2014",99798,228,0.9977
"2015",100672,208,0.9979
"2016",95563,219,0.9977
